date,datetime,price,market_cap,volume
2024-08-23,2024-08-23 00:00:00,60387.54,1192308382714,28170302506
2024-08-24,2024-08-24 00:00:00,64049.69,1261916434075,45038665759
2024-08-25,2024-08-25 00:00:00,64157.16,1264961887999,22029153446
2024-08-26,2024-08-26 00:00:00,64265.82,1269291077270,17875230147
2024-08-27,2024-08-27 00:00:00,62922.59,1242487823611,17894692681
2024-08-28,2024-08-28 00:00:00,59526.56,1176762244308,38131727428
2024-08-29,2024-08-29 00:00:00,59015.3,1166032395736,42018989572
2024-08-30,2024-08-30 00:00:00,59351.58,1171762256044,32563333957
2024-08-31,2024-08-31 00:00:00,59156.25,1168247205701,44038496615
2024-09-01,2024-09-01 00:00:00,58960.24,1164278309271,11399086336
2024-09-02,2024-09-02 00:00:00,57357.72,1133133027661,25465621878
2024-09-03,2024-09-03 00:00:00,59108.73,1168410293916,28012782291
2024-09-04,2024-09-04 00:00:00,57504.54,1137361604371,26829983370
2024-09-05,2024-09-05 00:00:00,57987.85,1144983177152,37550380697
2024-09-06,2024-09-06 00:00:00,56132.4,1109212553022,30005773446
2024-09-07,2024-09-07 00:00:00,53923.36,1065462041081,50260816557
2024-09-08,2024-09-08 00:00:00,54150.94,1068954727890,17048448412
2024-09-09,2024-09-09 00:00:00,54792.41,1085390277574,18644823662
2024-09-10,2024-09-10 00:00:00,57049.12,1126840069632,35655419448
2024-09-11,2024-09-11 00:00:00,57624.16,1137928777839,29676093302
2024-09-12,2024-09-12 00:00:00,57381.76,1134292554479,37765652735
2024-09-13,2024-09-13 00:00:00,58106.95,1148469900814,34177859933
2024-09-14,2024-09-14 00:00:00,60620.63,1197832322916,31919740724
2024-09-15,2024-09-15 00:00:00,60003.3,1185255944125,15800120841
2024-09-16,2024-09-16 00:00:00,59214.8,1169677517083,17289597543
2024-09-17,2024-09-17 00:00:00,58211.12,1150499194410,32196570894
2024-09-18,2024-09-18 00:00:00,60317.03,1191818552364,34191170118
2024-09-19,2024-09-19 00:00:00,61440.41,1211837853549,40445339415
2024-09-20,2024-09-20 00:00:00,62966.53,1243871590271,41959080716
2024-09-21,2024-09-21 00:00:00,63128.22,1246475981189,35587830477
2024-09-22,2024-09-22 00:00:00,63403.4,1254104417392,12938083116
2024-09-23,2024-09-23 00:00:00,63582.6,1255899286380,20349365413
2024-09-24,2024-09-24 00:00:00,63327.03,1251095079247,23998847799
2024-09-25,2024-09-25 00:00:00,64334.14,1271183646357,31490984594
2024-09-26,2024-09-26 00:00:00,63151.9,1245721254991,26087643766
2024-09-27,2024-09-27 00:00:00,65130.77,1287151352433,37995568904
2024-09-28,2024-09-28 00:00:00,65791.0,1299708226182,32664917504
2024-09-29,2024-09-29 00:00:00,65934.11,1303217687718,15342911003
2024-09-30,2024-09-30 00:00:00,65663.69,1297825615076,12948707839
2024-10-01,2024-10-01 00:00:00,63243.28,1249577803402,35124446789
2024-10-02,2024-10-02 00:00:00,60872.67,1202927109018,54251488434
2024-10-03,2024-10-03 00:00:00,60655.56,1198652098493,41870731292
2024-10-04,2024-10-04 00:00:00,60727.86,1200491237696,37711138442
2024-10-05,2024-10-05 00:00:00,62103.01,1226663492771,30349059839
2024-10-06,2024-10-06 00:00:00,62091.93,1226761949791,11095453163
2024-10-07,2024-10-07 00:00:00,62811.8,1241834324868,14592422861
2024-10-08,2024-10-08 00:00:00,62287.39,1231091696620,33878876147
2024-10-09,2024-10-09 00:00:00,62185.23,1229717180592,28626429277
2024-10-10,2024-10-10 00:00:00,60597.15,1197736450280,28530748118
2024-10-11,2024-10-11 00:00:00,60195.18,1189691671375,29481971886
2024-10-12,2024-10-12 00:00:00,62392.34,1233357176570,32008659336
2024-10-13,2024-10-13 00:00:00,63207.77,1249002272717,17665963646
2024-10-14,2024-10-14 00:00:00,62829.53,1241241970951,16784552979
2024-10-15,2024-10-15 00:00:00,66049.99,1306085613998,46553796134
2024-10-16,2024-10-16 00:00:00,66962.22,1323774576162,51797932877
2024-10-17,2024-10-17 00:00:00,67647.54,1337304399195,40640495380
2024-10-18,2024-10-18 00:00:00,67328.11,1330387728624,34512072358
2024-10-19,2024-10-19 00:00:00,68465.62,1353541799303,39984956633
2024-10-20,2024-10-20 00:00:00,68388.87,1351942347611,14110889435
2024-10-21,2024-10-21 00:00:00,68962.83,1362381684460,17253863433
2024-10-22,2024-10-22 00:00:00,67394.86,1332326858574,40485496092
2024-10-23,2024-10-23 00:00:00,67351.05,1331426858508,31398389967
2024-10-24,2024-10-24 00:00:00,66683.97,1318285437546,32676918488
2024-10-25,2024-10-25 00:00:00,68214.05,1347888109011,35892606570
2024-10-26,2024-10-26 00:00:00,66585.67,1313975091942,48426924850
2024-10-27,2024-10-27 00:00:00,67018.17,1325192118637,21169467790
2024-10-28,2024-10-28 00:00:00,67938.55,1343350549900,16533385730
2024-10-29,2024-10-29 00:00:00,69845.3,1380874923096,41990540385
2024-10-30,2024-10-30 00:00:00,72781.11,1439310420089,65487782005
2024-10-31,2024-10-31 00:00:00,72342.62,1431085552900,43498144314
2024-11-01,2024-11-01 00:00:00,70265.0,1390195908293,45907074189
2024-11-02,2024-11-02 00:00:00,69507.92,1374687306837,54863092261
2024-11-03,2024-11-03 00:00:00,69299.16,1370516856366,14709379755
2024-11-04,2024-11-04 00:00:00,68803.51,1362302032218,37659435507
2024-11-05,2024-11-05 00:00:00,67793.3,1340192510480,46183110994
2024-11-06,2024-11-06 00:00:00,69335.43,1370963795353,40025021601
2024-11-07,2024-11-07 00:00:00,75620.89,1496392703841,128492534668
2024-11-08,2024-11-08 00:00:00,75987.24,1502620808928,66590396087
2024-11-09,2024-11-09 00:00:00,76550.02,1514048743889,50687468388
2024-11-10,2024-11-10 00:00:00,76630.23,1519470275068,31430906056
2024-11-11,2024-11-11 00:00:00,80466.72,1590846468754,93473126208
2024-11-12,2024-11-12 00:00:00,88637.42,1756619702929,133959805309
2024-11-13,2024-11-13 00:00:00,88264.6,1741113172482,152356811694
2024-11-14,2024-11-14 00:00:00,90488.1,1790737763695,136046309844
2024-11-15,2024-11-15 00:00:00,87407.51,1726797438787,99649391847
2024-11-16,2024-11-16 00:00:00,90947.98,1799276211922,84382485698
2024-11-17,2024-11-17 00:00:00,90606.45,1790415769635,49255174407
2024-11-18,2024-11-18 00:00:00,89841.47,1776887033230,48556083102
2024-11-19,2024-11-19 00:00:00,90534.62,1790917617392,77391724184
2024-11-20,2024-11-20 00:00:00,92251.65,1825195454019,80493234958
2024-11-21,2024-11-21 00:00:00,94217.02,1862618759426,80747272080
2024-11-22,2024-11-22 00:00:00,98509.12,1948284556982,118163852022
2024-11-23,2024-11-23 00:00:00,98927.49,1958091000958,85746174564
2024-11-24,2024-11-24 00:00:00,97679.46,1931255637662,47414200207
2024-11-25,2024-11-25 00:00:00,98015.94,1939446484727,50665680247
2024-11-26,2024-11-26 00:00:00,93004.7,1838788677874,89476321216
2024-11-27,2024-11-27 00:00:00,91931.83,1819990514406,97389239316
2024-11-28,2024-11-28 00:00:00,95981.18,1899088665519,81469353260
2024-11-29,2024-11-29 00:00:00,95661.6,1892297852305,49067932024
2024-11-30,2024-11-30 00:00:00,97453.25,1926826079390,74670031636
2024-12-01,2024-12-01 00:00:00,96513.14,1910022814270,43580019721
2024-12-02,2024-12-02 00:00:00,97311.71,1925808416478,49147687433
2024-12-03,2024-12-03 00:00:00,95833.14,1896576914276,101019861361
2024-12-04,2024-12-04 00:00:00,96031.63,1900922167493,87935752288
2024-12-05,2024-12-05 00:00:00,98881.47,1957276192604,98230784298
2024-12-06,2024-12-06 00:00:00,97201.5,1920742551504,190460293532
2024-12-07,2024-12-07 00:00:00,99973.85,1978389972044,115812632020
2024-12-08,2024-12-08 00:00:00,99781.83,1974739091621,61061136200
2024-12-09,2024-12-09 00:00:00,101235.37,2003238967639,62677764785
2024-12-10,2024-12-10 00:00:00,97353.95,1926047690158,146846843212
2024-12-11,2024-12-11 00:00:00,96649.71,1913115778728,125835977743
2024-12-12,2024-12-12 00:00:00,101123.62,2001746436339,118484957961
2024-12-13,2024-12-13 00:00:00,100000.81,1979166149963,100092043320
2024-12-14,2024-12-14 00:00:00,101352.23,2005406021236,78802903279
2024-12-15,2024-12-15 00:00:00,101367.01,2007646386699,57321924844
2024-12-16,2024-12-16 00:00:00,104721.5,2075487816560,70645074625
2024-12-17,2024-12-17 00:00:00,106074.11,2097460193711,115184737759
2024-12-18,2024-12-18 00:00:00,106034.91,2100629850065,93417826250
2024-12-19,2024-12-19 00:00:00,100355.58,1985284833094,113692025885
2024-12-20,2024-12-20 00:00:00,97851.35,1937022229972,100611554887
2024-12-21,2024-12-21 00:00:00,97691.43,1932373308116,112340864007
2024-12-22,2024-12-22 00:00:00,97202.82,1922768195068,53058382639
2024-12-23,2024-12-23 00:00:00,95094.27,1884599149192,44619017105
2024-12-24,2024-12-24 00:00:00,94644.91,1874912975787,64937790293
2024-12-25,2024-12-25 00:00:00,98695.71,1951173788529,49169088282
2024-12-26,2024-12-26 00:00:00,99344.95,1966481159354,33963749856
2024-12-27,2024-12-27 00:00:00,95678.31,1894744251986,45049342388
2024-12-28,2024-12-28 00:00:00,94331.95,1867708753555,41498540808
2024-12-29,2024-12-29 00:00:00,95184.62,1885556552231,22429850904
2024-12-30,2024-12-30 00:00:00,93663.45,1854872605739,24065314500
2024-12-31,2024-12-31 00:00:00,92627.28,1833188187478,57595164139
2025-01-01,2025-01-01 00:00:00,93507.86,1851839954625,45327464908
2025-01-02,2025-01-02 00:00:00,94384.18,1869193319140,23275007789
2025-01-03,2025-01-03 00:00:00,96852.15,1917905016064,45157338603
2025-01-04,2025-01-04 00:00:00,98084.34,1942834829350,35721645948
2025-01-05,2025-01-05 00:00:00,98256.74,1946611205641,20979035421
2025-01-06,2025-01-06 00:00:00,98364.59,1948339898719,20060293835
2025-01-07,2025-01-07 00:00:00,102229.39,2024825178620,46111387334
2025-01-08,2025-01-08 00:00:00,96952.1,1919133187081,60610257147
2025-01-09,2025-01-09 00:00:00,95016.71,1885313354914,65790469838
2025-01-10,2025-01-10 00:00:00,92376.28,1832933628118,65850881575
2025-01-11,2025-01-11 00:00:00,94736.63,1876836759923,63433655717
2025-01-12,2025-01-12 00:00:00,94559.55,1874286243378,17836423168
2025-01-13,2025-01-13 00:00:00,94454.77,1870314882307,19608932596
2025-01-14,2025-01-14 00:00:00,94456.35,1870609367805,76328330233
2025-01-15,2025-01-15 00:00:00,96574.08,1912603332624,51241728229
2025-01-16,2025-01-16 00:00:00,100313.15,1986831430652,57637319740
2025-01-17,2025-01-17 00:00:00,100044.58,1980935754458,50150102497
2025-01-18,2025-01-18 00:00:00,104160.69,2063854663834,69135117732
2025-01-19,2025-01-19 00:00:00,104334.62,2067151195362,49416447749
2025-01-20,2025-01-20 00:00:00,101275.34,2014842808850,72970313684
2025-01-21,2025-01-21 00:00:00,101764.91,2017837068202,120158523167
2025-01-22,2025-01-22 00:00:00,106182.24,2098829000928,95344290058
2025-01-23,2025-01-23 00:00:00,103673.54,2054288661794,55030669603
2025-01-24,2025-01-24 00:00:00,104067.61,2062360759045,102455227371
2025-01-25,2025-01-25 00:00:00,104835.19,2076156720643,51418786363
2025-01-26,2025-01-26 00:00:00,104796.04,2077647817531,22740744965
2025-01-27,2025-01-27 00:00:00,102552.25,2036324005947,20639818380
2025-01-28,2025-01-28 00:00:00,101958.47,2019295541214,93191643783
2025-01-29,2025-01-29 00:00:00,101313.11,2007072201508,45780526814
